Name,Variable
Occupation - National Occupational Classification (NOC) 2016 (693A),NOC693A
Other language(s) spoken regularly at home (9),LNG.HOME.OTH9
Period of construction (12),PER.CONST12
Period of immigration (7),PER.IMM7
Person - Place of birth (128),PLC.BIRTH128
Place of birth (144),PLC.BIRTH144
Place of birth (272),PLC.BIRTH272
Place of residence 1 year ago (15),PLC.REZ1YR15
Place of Residence 5 Years Ago (15),PLC.REZ5YR15
Place of work census division (296),CD.WORK296
Place of work status (5),PL.WORK5
Presence of mortgage payments (3),MORT3
Province or Territory of Residence 1 Year Ago (14),PROVREZ1YR14
Province or Territory of Residence 5 Years Ago (14),PROVREZ5YR14
Registered or Treaty Indian status (3),REG.IND3
Residence by Aboriginal geography (10),REZ.ABO.GEOG10
Residence inside or outside Inuit Nunangat (7),REZ.INU7
Residence on or off reserve (3),REZ.RESE3
School attendance (3),SCL.ATT3
Secondary (high) school diploma or equivalency certificate (14),SEC.DIP14
"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (981)",SEL.DEM981
"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (984)",SEL.DEM984
"Selected demographic, cultural, labour force, educational and income characteristics (651)",SEL.DEM651
"Selected demographic, cultural, labour force, educational and income characteristics (900)",SEL.DEM900
Sex (3),SEX3
Sex and age (15),SEXAGE15
Sex and age (18),SEXAGE18
Sex and age (24),SEXAGE24
Shelter cost (12),SHEL.COST12
Shelter-cost-to-income ratio (5),SHEL.INC.RAT5
Shelter-cost-to-income ratio (5A),SHEL.INC.RAT5A
Shelter-cost-to-income ratio (9),SHEL.INC.RAT9
Single and multiple Aboriginal ancestry responses (4),ABO.ANC.MULT.FLAG4
Single and multiple citizenship responses (3),MULT.CITI.FLAG3
Single and multiple ethnic origin responses (3),MULT.ETH.FLAG3
Single and multiple mother tongue responses (3),MULT.MOT.TONG.FLAG3
Single and multiple responses of language spoken at home (3),MULT.LNG.HOME.FLAG3
Single and multiple responses of language used at work (3),MULT.LNG.WORK3
Spoken regularly at home - Other language(s) (9),LNG.REG.HOME.OTH9
"STEM and BHASE (non-STEM) groupings, Major field of study - Classification of Instructional Programs (CIP) 2016 (16)",STEM.CIP16
"STEM and BHASE (non-STEM) groupings, Major field of study - Classification of Instructional Programs (CIP) 2016 (36)",STEM.CIP36
Structural type of dwelling (10),STR.DWEL10
Structural type of dwelling (5),STR.DWEL5
Tenure (4),TEN4
Tenure including presence of mortgage payments and subsidized housing (7),TEN.MOR7
Time leaving for work (7),TIME.WORK7
Total income groups (17),INC.GROUP17
Total income statistics (4),INC.STAT4
Used regularly at work - Other language(s) (9),LNG.REG.WORK.OTH9
Value (owner-estimated) of dwelling (16),VAL.DWEL16
Value (owner-estimated) of dwelling (4),VAL.DWEL4
Visible minority (15),VIS.MIN15
Work activity during the reference year (3),WA3
Work activity during the reference year (4),WA4
Work activity during the reference year (4A),WA4A
Work activity during the reference year (5),WA5
Work activity during the reference year (6),WA6
Work activity during the reference year (9),WA9
Year (2),YR
